Kind;IndexTerm;WikiTerm;Comment;Opinion;Resolution
TERM;action;Action;;id;
TERM;association list;Associative list;;withdraw;add some synonyms
TERM;barcode;;illustration;id;
TERM;bit;Bit;;id;
TERM;bloom filter;;illustration;id;
TERM;bytestring;Bytestring;;withdraw;perhapsAdd
TERM;character;Character;;id;
TERM;command;Command;;id;
TERM;constructor;Data constructor;;id;
TERM;core;Core;;id;
TERM;data typeData type;;id;
TERM;database;Database;;id;
TERM;definition;;generalEnglish;withdraw;
TERM;directory;Directory;;id;
TERM;evaluation;;generalEnglish;withdraw;perhapsRemoveFromMapping
TERM;exception;Exception;;id;
TERM;filter;Filter function;;id;
TERM;foldl;;tooSpecific;submit;rejected
TERM;GHC;Technology:Glasgow Haskell Compiler;;agree;
TERM;glade;;illustration;withdraw;
TERM;guard;Guard;;id;
TERM;HPC;HPC;;withdraw;
TERM;I/O;I/O;;withdraw;
TERM;integer;Integer;;id;
TERM;interface;;generalEnglish;withdraw;
TERM;invariant;Invariant;;withdraw;
TERM;IO;I/O;;withdraw;
TERM;lazy;Lazy evalutation;;id;
TERM;loop;Loop;;id;
TERM;map;Map function;;id;
TERM;message;;generalEnglish;id;
TERM;monad;Monad (Functional programming);;submit;deferred
TERM;monad transformer;Monad transformer;;id;
TERM;monoid;Monoid;;id;
TERM;operator;;generalEnglish;withdraw;
TERM;output;Output;;id;
TERM;package;Package;;withdraw;
TERM;parse;Parsing;;id;
TERM;parsec;Technology:Parsec;;id;
TERM;parser;Parser;;id;
TERM;parsing;Parsing;;id;
TERM;pattern;Data pattern;;withdraw;
TERM;performance;Performance;;id;
TERM;pointer;Pointer;;id;
TERM;polymorphism;Polymorphism;;id;
TERM;precedence;Operator precedence;;id;
TERM;predicate;;Predicate;id
TERM;prelude;Prelude module;;submit;ok(samePatterAsFooFunction)
TERM;process;Process;;id;
TERM;profiling;Profiling;;id;
TERM;pure;Pure function;;id;
TERM;query;Query;;id;
TERM;random;;generalEnglish;withdraw;
TERM;regular expression;Regular expression;;id;
TERM;signature;Function signature;;id;
TERM;stack;Stack;;id;
TERM;state;State;;id;
TERM;strict;Strict evaluation;;id;
TERM;syslog;;illustration;id;
TERM;table;Table;;id;
TERM;tail;Tail;;id;
TERM;TCP;TCP;;id;
TERM;testing;Testing;;id;
TERM;text;;generalEnglish;withdraw;
TERM;thread;Thread;;id;
TERM;transformer;Monad transformer;;id;
TERM;type system;Type System;;id;
TERM;typeclass;Typeclass;;id;
TERM;UDP;UDP;;id;
TERM;value constructor;Data constructor;;id;
TERM;window;Window;;withdraw;
TERM;XML;Language:XML;;id;
TITLE;Monads;;;;
TITLE;Efficient.file.processing..regular.expressions..and.file.name.matching;;;;
TITLE;Input.and.output;;;;
TITLE;Working.with.databases;;;;
TITLE;Barcode.recognition;;;;
TITLE;Data.structures;;;;
TITLE;Getting.started;;;;
TITLE;Systems.programming;;;;
TITLE;Testing.and.quality.assurance;;;;
TITLE;Advanced.library.design..building.a.Bloom.filter;;;;
TITLE;GUI.programming;;;;
TITLE;Error.handling;;;;
TITLE;Profiling.and.tuning.for.performance;;;;
TITLE;Writing.a.library..working.with.JSON.data;;;;
TITLE;Basic.concurrent.and.parallel.programming;;;;
TITLE;I.O.case.study..a.library.for.searching.the.filesystem;;;;
TITLE;Web.client.programming;;;;
TITLE;Types.and.functions;;;;
TITLE;Defining.types..streamlining.functions;;;;
TITLE;Using.typeclasses;;;;
TITLE;Programming.with.monads;;;;
TITLE;The.foreign.function.interface;;;;
TITLE;Code.case.study..parsing.a.binary.data.format;;;;
TITLE;Functional.programming;;;;
TITLE;Software.transactional.memory;;;;
TITLE;The.Parsec.parsing.library;;;;
TITLE;Network.programming;;;;
TITLE;Monad.transformers;;;;
