"","Term","First.steps","Types.and.classes","Defining.functions","List.comprehensions","Recursive.functions","Higher.order.functions","Functional.parsers","Interactive.programs","Declaring.types.and.classes","The.countdown.problem","Lazy.evaluation","Reasoning.about.programs"
"1","action",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA
"2","application",9,NA,NA,NA,NA,NA,NA,NA,NA,5,18,NA
"3","bit",NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA
"4","bool",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","calculator",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA
"6","character",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA
"7","class",NA,47,NA,NA,NA,NA,NA,NA,31,NA,NA,NA
"8","comment",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","commutativity",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"10","comprehension",NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
"11","declaration",NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
"12","div",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"13","drop",NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"14","equation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"15","expr",NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
"16","foldr",NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
"17","identity",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"18","induction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"19","instance",NA,20,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
"20","int",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","lambda",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","lazy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
"23","lazy evaluation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"24","map",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
"25","name",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"26","parser",NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA
"27","pattern",NA,NA,41,NA,16,NA,NA,NA,NA,NA,NA,NA
"28","product",NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
"29","recursion",NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
"30","reverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"31","script",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","string",NA,NA,NA,31,NA,NA,39,19,NA,NA,NA,NA
"33","text",NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"34","tree",NA,NA,NA,NA,NA,NA,22,NA,34,NA,NA,NA
