"","Term","Chapters"
"1","result",100
"2","just",100
"3","haskell",100
"4","example",100
"5","function",100
"6","program",100
"7","code",100
"8","type",96
"9","take",96
"10","list",96
"11","return",96
"12","number",96
"13","name",93
"14","where",93
"15","file",93
"16","section",93
"17","set",93
"18","error",93
"19","module",93
"20","value",93
"21","even",89
"22","order",89
"23","writing",89
"24","time",89
"25","string",89
"26","input",89
"27","above",86
"28","GHCi",86
"29","programming",86
"30","show",86
"31","application",86
"32","implementation",86
"33","instance",86
"34","variable",82
"35","parameter",82
"36","argument",82
"37","expression",82
"38","read",82
"39","nothing",82
